Please enter:
映像名称                       PID 会话名              会话#       内存使用 
svchost.exe                   3684 Services                   0      3,844 K
svchost.exe                   3980 Services                   0      4,808 K
svchost.exe                   1476 Services                   0      4,560 K
svchost.exe                  12420 Services                   0      5,064 K
csrss.exe                     9912 Console                    4      5,464 K
winlogon.exe                 17412 Console                    4      5,940 K
fontdrvhost.exe               7076 Console                    4     13,464 K
dwm.exe                      10056 Console                    4     75,416 K
NVDisplay.Container.exe      15712 Console                    4     11,980 K
DAX3API.exe                   2636 Console                    4      5,868 K
dptf_helper.exe              17344 Console                    4      3,060 K
RtkAudUService64.exe          4944 Console                    4      4,304 K
sihost.exe                   15308 Console                    4     22,252 K
svchost.exe                  13296 Console                    4     15,200 K
igfxEM.exe                   16840 Console                    4     14,612 K
svchost.exe                  13316 Console                    4     18,472 K
taskhostw.exe                13632 Console                    4     11,392 K
explorer.exe                  2200 Console                    4    129,572 K
svchost.exe                  12004 Console                    4     15,336 K
StartMenuExperienceHost.e    15968 Console                    4     38,620 K
taskhostw.exe                16592 Console                    4      5,700 K
RuntimeBroker.exe            11244 Console                    4      7,568 K
SearchUI.exe                  9920 Console                    4     80,556 K
RuntimeBroker.exe            17432 Console                    4     30,920 K
RemindersServer.exe           2872 Console                    4     10,380 K
SettingSyncHost.exe          18332 Console                    4      6,424 K
ctfmon.exe                    8976 Console                    4     34,940 K
RuntimeBroker.exe            12684 Console                    4     11,916 K
ChsIME.exe                   16020 Console                    4     50,472 K
SecurityHealthSystray.exe    17600 Console                    4      4,436 K
RtkAudUService64.exe         15672 Console                    4      6,052 K
IGCCTray.exe                 12344 Console                    4     15,024 K
IGCC.exe                     15764 Console                    4     17,692 K
ApplicationFrameHost.exe      6612 Console                    4     24,284 K
MicrosoftEdge.exe            17384 Console                    4        756 K
browser_broker.exe            3276 Console                    4      3,952 K
dllhost.exe                  15892 Console                    4      6,960 K
RuntimeBroker.exe             7856 Console                    4      4,144 K
MicrosoftEdgeSH.exe           1900 Console                    4        204 K
MicrosoftEdgeCP.exe           5568 Console                    4      3,996 K
SystemSettings.exe           18400 Console                    4        200 K
svchost.exe                   7016 Console                    4     12,100 K
Video.UI.exe                 11136 Console                    4        444 K
RuntimeBroker.exe            12568 Console                    4      5,352 K
WindowsInternal.Composabl    18348 Console                    4     13,372 K
YourPhone.exe                11440 Console                    4      7,248 K
RuntimeBroker.exe             9900 Console                    4      5,584 K
YourPhoneServer.exe          13332 Console                    4      7,136 K
ShellExperienceHost.exe      14552 Console                    4     46,628 K
RuntimeBroker.exe            16952 Console                    4     18,832 K
SystemSettingsBroker.exe     14992 Console                    4     12,024 K
svchost.exe                  13784 Services                   0      4,068 K
RuntimeBroker.exe            15728 Console                    4      5,092 K
LockApp.exe                  15644 Console                    4     28,320 K
RuntimeBroker.exe             8120 Console                    4     20,168 K
SecurityHealthHost.exe        8696 Console                    4      6,628 K
ChsIME.exe                   11804 Console                    4      4,820 K
HxOutlook.exe                 4524 Console                    4        320 K
RuntimeBroker.exe             5184 Console                    4      8,068 K
HxTsr.exe                     3392 Console                    4        444 K
Microsoft.Photos.exe          6320 Console                    4        596 K
RuntimeBroker.exe            17236 Console                    4     20,116 K
svchost.exe                  12544 Services                   0      5,396 K
PotPlayerMini64.exe           6780 Console                    4    157,712 K
pycharm64.exe                11988 Console                    4  1,287,228 K
fsnotifier64.exe              3068 Console                    4      1,748 K
conhost.exe                  14684 Console                    4      5,036 K
osdservice.exe               12828 Services                   0     11,296 K
OSD_Daemon.exe               17024 Console                    4     43,888 K
svchost.exe                   6332 Services                   0     15,776 K
audiodg.exe                   7864 Services                   0     19,496 K
ONENOTEM.EXE                 14356 Console                    4      1,600 K
svchost.exe                  19384 Services                   0     11,672 K
Calculator.exe               11724 Console                    4         56 K
svchost.exe                  13088 Services                   0      7,196 K
explorer.exe                  2824 Console                    4     72,536 K
smartscreen.exe              16772 Console                    4     22,332 K
cmd.exe                       3976 Console                    4      4,092 K
conhost.exe                  14604 Console                    4     30,868 K
WmiPrvSE.exe                  7436 Services                   0      9,648 K
python.exe                    8152 Console                    4     10,048 K
cmd.exe                      15776 Console                    4      3,892 K
tasklist.exe                  1668 Console                    4      8,496 K
